Country,Event Id,Date,Date Entered/Updated,Launch Time (UTC),Missile Name,Missile Type,Launch Agency/Authority,Facility Name,Facility Location,Other Name,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome,Additional Information,Source(s),
North Korea,11,Jun-92,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,0 km,Unknown,Unconfirmed,Failure,Japanese military sources reported this test. There is little information on it and it is likely that the missile failed early in flight.,"http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999;",
North Korea,12,29-May-93,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,150 km,500 km,Confirmed,Success,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999",
North Korea,13,29-May-93,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Unknown,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1993/06/13/world/missile-is-tested-by-north-koreans.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999",
North Korea,14,29-May-93,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Success,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1993/06/13/world/missile-is-tested-by-north-koreans.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999",
North Korea,15,30-May-93,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Success,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1993/06/13/world/missile-is-tested-by-north-koreans.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999",
North Korea,16,31-Aug-98,23-Dec-16,,Taepodong-1,SLV,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,330km east of Hachinohe and 4000 km out into Pacific Ocean,Unknown,"1,380 km",Confirmed,Failure,"This is one of the most significant missile tests carried out by North Korea. The test was the first known test carried out during Kim Jong Il's reign, it was North Korea's first known attempt at a multi-stage rocket, and it was the first North Korean missile test to overfly Japan. Overflying Japan produced a significant diplomatic outcry. This rocket however managed to make it out over the Pacific Ocean before spectacularly exploding at some point during its third stage. Parts of it are believed to have travelled about 4000 km before splashing into the ocean. However, North Korea reported it had successfully inserted a satellite into orbit on September 14, a few days after the launch. Pictures of the satellite were distributed to foreign media and the satellite pictured looked almost identical to the first Chinese satellite put into orbit (which itself looked very similar to the US Telstar). Despite these pictures and subsequent information about the satellite, no one was able to detect the satellite in orbit. Despite the failure, this test had significant consequences. It led to negotiations between the US and North Korea that resulted in a missile testing moratorium that lasted until 2006. It also probably served as a jump start to the US's ballistic missile defense systems. The overflight of Japan caused significant enough diplomatic trouble that North Korea began construction of Sohae on the opposite shore of North Korea. Since finishing construction in 2012, DPRK satellite launch attempts have been out Sohae and have been on trajectories which do not overfly Japan.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1998/09/01/world/north-korea-fires-missile-over-japanese-territory.htmlhttp://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999",
North Korea,17,5-Jul-06,05-Jan-17,,Unha,SLV,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,40 km,Unknown,Confirmed,Failure,"This test failed 42 seconds into launch. Its debris impacted somewhere west of Japan though it was on a trajectory to overfly it. North Korea kicked off the end of the missile test moratorium with a test that looks almost identical to the test that led to negotiating it in the first place (this probably was not a coincidence). Furthermore, the test occurred on the 4th of July (in the US). North Korea did the same thing in 2009 with a series of tests and in 2017 with its first ICBM test.",http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,18,5-Jul-06,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,19,5-Jul-06,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,20,5-Jul-06,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,21,5-Jul-06,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,22,5-Jul-06,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,23,5-Jul-06,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,"There is a considerable amount of disagreement concerning the types and numbers of missiles launched on July 5, 2006. Russia, for instance, claims they tracked 10 missile launches. This database only records 7 missiles launched that day. The types of missiles listed here is also debated. The Nodongs could very well have actually been Scuds and vice versa.",http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; https://en.wikipedia.org/wiki/2006_North_Korean_missile_test; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.globalsecurity.org/wmd/world/dprk/td-2-flighttest.htm,
North Korea,24,5-Apr-09,05-Jan-17,,Unha,SLV,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Pacific Ocean,Unknown,,Confirmed,Failure,"Also refered to by the name of the satellite payload (Kwangmyongsong 2). Prior to the launch, North Korea announced it had signed the Outer Space Treaty and that the satellite was a peaceful satellite launch. The first stage of the missile landed in the Sea of Japan, about 270 km west of Japan. The missile suffered a critical failure during the second or third stage and exploded. The remains of the missile landed in the Pacific Ocean",http://www.nytimes.com/2009/04/06/world/asia/06korea.html?pagewanted=all; http://www.nytimes.com/2009/04/05/world/asia/05korea.html?_r=0; http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf,
North Korea,25,5-Jul-09,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf,
North Korea,26,5-Jul-09,05-Jan-17,,Nodong,MRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,150 km,Unknown,Confirmed,Success,,http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf,
North Korea,27,5-Jul-09,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,,,Confirmed,Success,,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://english.hani.co.kr/arti/english_edition/e_northkorea/364175.html; http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=2907043; http://www.washingtonpost.com/wp-dyn/content/article/2009/07/04/AR2009070400061.html,
North Korea,28,5-Jul-09,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,,,Confirmed,Success,,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://english.hani.co.kr/arti/english_edition/e_northkorea/364175.html; http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=2907043; http://www.washingtonpost.com/wp-dyn/content/article/2009/07/04/AR2009070400061.html,
North Korea,29,5-Jul-09,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,,,Confirmed,Success,,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://english.hani.co.kr/arti/english_edition/e_northkorea/364175.html; http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=2907043; http://www.washingtonpost.com/wp-dyn/content/article/2009/07/04/AR2009070400061.html,
North Korea,30,5-Jul-09,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,,,Confirmed,Success,,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://english.hani.co.kr/arti/english_edition/e_northkorea/364175.html; http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=2907043; http://www.washingtonpost.com/wp-dyn/content/article/2009/07/04/AR2009070400061.html,
North Korea,31,5-Jul-09,05-Jan-17,,Scud-C,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,,,Confirmed,Success,,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080714559090.pdf; http://english.hani.co.kr/arti/english_edition/e_northkorea/364175.html; http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=2907043; http://www.washingtonpost.com/wp-dyn/content/article/2009/07/04/AR2009070400061.html,
North Korea,32,13-Apr-12,05-Jan-17,,Unha-3,SLV,,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",North Pyongan,39.6596,124.7057,Pacific Ocean,Unknown,Unknown,Confirmed,Failure,"This was Kim Jong Un's first test as leader of North Korea. The launch is also refered to as the launch of Kwangmyŏngsŏng-3, the satellite payload. The rocket was also the first rocket launched from Sohae, on the west side of North Korea and aimed south. This was presumably to prevent it from violating Japanese airspace. The rocket itself reached an altitude of about 120 kilometers before exploding about 90 seconds into launch. The debris landed about 165 km in the ocean west of Seoul. The test followed an Obama administration attempt to revive the missile testing moratorium (referred to as ""the leap day deal""). However, the resulting deal did not address space launches which likely prompted North Korea to carry out this test. The launch proved to be fairly embarrasing for the Obama administration which had pushed for a missile deal and the experience likely prevented further attempts at negotiating a missile or nuclear freeze with the regime.",http://www.nytimes.com/2012/04/13/world/asia/north-korea-launches-rocket-defying-world-warnings.html; https://en.wikipedia.org/wiki/Kwangmy%C5%8Fngs%C5%8Fng-3; http://www.astronautix.com/k/koreanorth.html,
North Korea,33,12-Dec-12,05-Jan-17,,Unha-3,SLV,,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",North Pyongan,39.6596,124.7057,N/A,581 km,N/A,Confirmed,Success,This was the first successful satellite insertion caried out by North Korea. No transmissions from the satellite were detected and amateur observations showed the satellite was tumbling. It is assumed that the satellite was either a dummy or failed shortly after launch. Orbital information: Apogee: 581 km (361 mi). Perigee: 498 km (309 mi). Inclination: 97.4000 deg. Period: 95.40 min.,http://www.astronautix.com/k/koreanorth.html; http://www.nytimes.com/2012/12/12/world/asia/north-korea-launches-rocket-defying-likely-sanctions.html,
North Korea,34,18-May-13,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html,
North Korea,35,18-May-13,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130520,
North Korea,36,18-May-13,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130520,
North Korea,37,19-May-13,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130520,
North Korea,38,20-May-13,05-Jan-17,,KN-02,SRBM,,Hodo Peninsula,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130520,
